,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
148,ඔවුන් බෝ වී ඇති නිසා. ඔවුන්ගේ මව්වරුන් එවැනි පිරිමි ළමයින්ට කැමති වූ අතර ඔවුන්ට පෙර ඔවුන්ගේ ආච්චි. ඔවුන්ගේ ජාන සංචිතය කලාතුරකින් තනුක වේ.,එයාට හැමදාම තියෙන්නේ ඔය ජරාව කන හිනාව?
149,එයාට හැමදාම තියෙන්නේ ඔය ජරාව කන හිනාව?,"ජෝයි ඩෝර්සි? Perma-shit-grin. ඔහු මෝඩයෙක් යැයි මට පැවසීමට මම කැමතියි, නමුත් ඔහු පන්තියේ අංක දොළහයි. සහ ආකෘතියක්. බොහෝ දුරට කලාපීය දේවල්, නමුත් ඔහු විශාල ටියුබ් මේස් දැන්වීමක් එළියට එන බවට කටකතා පැතිර ඇත."
150,ඔබ ප්රංශ දන්නවාද?,අනිවාරෙන්ම... මගේ අම්මා කැනඩාවේ
151,අනිවාරෙන්ම... මගේ අම්මා කැනඩාවේ,උපදේශකයෙකු සඳහා ලියාපදිංචි වූයේ කවුදැයි අනුමාන කරන්න?
152,උපදේශකයෙකු සඳහා ලියාපදිංචි වූයේ කවුදැයි අනුමාන කරන්න?,ඔබ කියන්නේ මට ඇය සමඟ කතා කිරීමට අවස්ථාවක් ලැබෙනු ඇති බවයි?
153,ඔබ කියන්නේ මට ඇය සමඟ කතා කිරීමට අවස්ථාවක් ලැබෙනු ඇති බවයි?,"ඔබට ඇය සමඟ කැප කළ හැකිය, මගේ මිතුරා."
154,"ඔව්, ෂෘ සමඟ සුළු හමුවීමක් පමණි.",ඒ ඇයද? බියන්කාගේ සහෝදරිය?
155,ඒ ඇයද? බියන්කාගේ සහෝදරිය?,රම්පාලියන් කාලකන්නි ඇයමයි.
156,"මම ඇයට ප්‍රංශ භාෂාව උගන්වමි, ඇයව දැන හඳුනා ගන්නෙමි, ඇයව චමත්කාරයෙන් විස්මයට පත් කරමි, ඇය මා සමඟ ආදරයෙන් බැඳේ.","බොහෝ දුරට ඉඩ නැත, නමුත් එසේ වුවද, ඇයට තවමත් ඔබ සමඟ පිටතට යා නොහැක. එසේනම් ප්‍රයෝජනය කුමක්ද?"
157,ඔහු ගැන කුමක් කිව හැකිද?,ඔබට ඔහු සමඟ පිටතට යාමට අවශ්‍යද?
158,ඔහු එය කරයි කියා ඔබ සිතන්නේ කුමක්ද?,ඔහු අනතුරට මුහුණ දෙන බව පෙනේ
159,ඔහු අනතුරට මුහුණ දෙන බව පෙනේ,විහිලුවක් නෑ. ඔහු අපරාධකාරයෙක්. ඔහු රාජ්‍ය භටයෙකුට ගිනි තබනු මට ඇසිණි. එයා Alcatraz වලින් එලියට ආවා විතරයි...
160,විහිලුවක් නෑ. ඔහු අපරාධකාරයෙක්. ඔහු රාජ්‍ය භටයෙකුට ගිනි තබනු මට ඇසිණි. එයා Alcatraz වලින් එලියට ආවා විතරයි...,ඔවුන් සැමවිටම අපරාධකරුවන්ට ගෞරව ජීව විද්‍යාවේ වාඩි වීමට ඉඩ දෙනවාද?
161,ඔවුන් සැමවිටම අපරාධකරුවන්ට ගෞරව ජීව විද්‍යාවේ වාඩි වීමට ඉඩ දෙනවාද?,"මම සීරියස් මචන්, ඌට ගැහුවා. ඔහු තම අක්මාව කළු වෙළඳපොලේ විකුණුවා, එවිට ඔහුට නව කථිකයන් මිලදී ගැනීමට හැකි විය."
162,"මම සීරියස් මචන්, ඌට ගැහුවා. ඔහු තම අක්මාව කළු වෙළඳපොලේ විකුණුවා, එවිට ඔහුට නව කථිකයන් මිලදී ගැනීමට හැකි විය.",ඔහුගේ කීර්ති නාමය අමතක කරන්න. ඔබ සිතන්නේ අපට සැලසුමක් තිබේද නැද්ද?
163,ඔහුගේ කීර්ති නාමය අමතක කරන්න. ඔබ සිතන්නේ අපට සැලසුමක් තිබේද නැද්ද?,ඇය ඇත්තටම ඔබ සමඟ එළියට යන බව කීවාද?
164,ඇය ඇත්තටම ඔබ සමඟ එළියට යන බව කීවාද?,ඒකයි මම කිව්වේ
165,ඔයා දන්නවද බයංකා එක්ක එලියට ගියොත් ඔයාට සෙට් වෙනවා. ඔබ සියලු දෙනා අභිබවා යයි. දැඩි A-ලැයිස්තුව. මා සමඟ ඔබේ පැත්තේ.,මම හිතුවේ ඔයා ඒ මිනිස්සුන්ට වෛර කරයි කියලා.
166,මම හිතුවේ ඔයා ඒ මිනිස්සුන්ට වෛර කරයි කියලා.,හේයි -- මම වෝල් වීදියට යන විට මට සේවාදායකයින් කිහිප දෙනෙකු සිටිය යුතුයි.
167,ඔබ ඔහුව සම්බන්ධ කර ගත්තාද?,"අපිට තේරීමක් තිබුණා වගේ? ඊට අමතරව -- ඔබ සතුරාට ඔහු සටන මෙහෙයවන බව සිතීමට ඉඩ දුන් විට, ඔබ සිටින්නේ බලවත් ස්ථානයක ය. අපි ඔහුට ඔහු වෙඩි තැබීමට කතා කරන බව මවා පෑමට ඉඩ සලසා දෙන අතර, ඔහු සැලැස්ම සැකසීමට කාර්යබහුල වන අතරේ, ඔබට බියන්කා ආකර්ෂණය කර ගැනීමට කාලය තිබේ."
168,මේ එයයි. ස්වර්ණමය අවස්ථාවක්. පැට්‍රික්ට කැටරිනාගෙන් සාදයට ඉල්ලා සිටිය හැකිය.,"එවැනි අවස්ථාවක, අපට එය පාසල පුරා පහරක් බවට පත් කිරීමට අවශ්‍ය වනු ඇත."
169,"එවැනි අවස්ථාවක, අපට එය පාසල පුරා පහරක් බවට පත් කිරීමට අවශ්‍ය වනු ඇත.",බෝගී නැමෙයිද?
170,බෝගී නැමෙයිද?,ඔයා විහිළු කරනවාද? ඔහු ප්‍රීතියෙන් කේන්ති ගනීවි. ඔහු තමයි අවසාන හාදු බූරුවා.
171,අංක එක. ඇය දුම් පානය කරන්නන්ට වෛර කරයි,එය පෙනහළු පිළිකා ප්‍රශ්නයක්
172,එය පෙනහළු පිළිකා ප්‍රශ්නයක්,ඇගේ ප්රියතම මාමා
173,ඇගේ ප්රියතම මාමා,හතළිස් එකේදී මැරිලා.
174,ඔහු ලස්සනයි!,හරි හරී! මට විශ්වාස නැහැ
175,එක රැයක් ඔබේ කන්වලට පහර දෙන්න.,එය ඇගේ ප්රියතම සංගීත කණ්ඩායමයි.
176,ඔයා මට ඒ කොටස කලිනුත් කිව්වා.,"අපාය, මම මගේ ඔළුවේ ඇති මුළු දේම හරහා ගොස් -"
177,අතිශයින්ම අවාසනාවන්ත උපාමාරුව.,අපාය ඒකද? ඔබ ඇය සමඟ කතා කරන අතරතුර ගැහැණු ළමයෙකු රැගෙන ඇයව රැගෙන යන්නේ කුමන ආකාරයේ 'පිරිමියෙක්ද?
178,අපාය ඒකද? ඔබ ඇය සමඟ කතා කරන අතරතුර ගැහැණු ළමයෙකු රැගෙන ඇයව රැගෙන යන්නේ කුමන ආකාරයේ 'පිරිමියෙක්ද?,"බුතොලස් අන්තය. නමුත් හේයි, ඔබ දියුණු වෙමින් පවතී."
179,"බුතොලස් අන්තය. නමුත් හේයි, ඔබ දියුණු වෙමින් පවතී.","නැහැ, මම නැහැ."
180,ඔබ කාන්තාවට නින්දා කළා! ගෞරවය සහ ලකුණු පවා පූජාසනය මත ඔබ කැප කරන්න.,"හොඳම අවස්ථාව, ඔබ ටික වේලාවකට නැවත වැටුප් ලේඛනයට පැමිණ ඇත."
181,ඔහු අදහස් කරන්නේ සිරගෙදර නොවන චිත්‍රපට වර්ගයකි.,ඔව් - අපි බලමු.
