,Question,Answer
300,"Why? Because everything is my responsibility? Isn't it enough that I'm making Thanksgiving dinner for everyone? You know, everyone wants a different kind of potatoes, so I'm making different kinds of potatoes. Does anybody care what kind of potatoes I want? Nooooo, no, no! Just as long as Phoebe gets her peas and onions, and Mario gets his tots, and it's my first Thanksgiving, and it's all burned, and, and I... I...","Ok, Monica, only dogs can hear you now, so, look, the door's open. Here we go."
301,"Stop it, stop it, stop it!",Now this feels like Thanksgiving.
302,,Shall I carve?
303,By all means.,"Ok, who wants light cheese, and who wants dark cheese?"
304,The bigger half.,"I'd like to propose a toast. Little toast here, ding ding. I know this isn't the kind of Thanksgiving that all of you all planned, but for me, this has been really great, you know, I think because it didn't involve divorce or projectile vomiting. Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know? So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivings sucked."
305,And a crappy New Year.,"Here, here!"
306,"Here, here!",Bladder Control Problem Stop Wife Beating Hemorrhoids? Winner of 3 Tony Awards...
307,Bladder Control Problem Stop Wife Beating Hemorrhoids? Winner of 3 Tony Awards...,He's finally happy with that and walks away.
308,That is so cruel! Why? Why would a parent name their child Bethel?,"Hey, that monkey's got a Ross on its ass!"
309,"So you guys, I'm doing all new material tonight. I have twelve new songs about my mother's suicide, and one about a snowman.",Might wanna open with the snowman.
310,"Hey, do you guys know what you're doing for New Year's? Gee, what?! What is wrong with New Year's?","Nothing for you, you have Paolo. You don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! Man, I'm talking loud!"
311,"Yeah, you wish!","It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us- dinner."
312,"Yeah, okay. Alright.","Y'know, I was hoping for a little more enthusiasm."
313,"Well, c'mon, if it's important enough to discuss while I'm playing, then I assume it's important enough for everyone else to hear!",That guy's going home with a note!
314,"Well, he's kinda like the guy I went to see that with. Except, except he-he's smarter, and gentler, and sweeter... I just- I just wanna be with him all the time. Day and night, and night and day... and special occasions...","Wait a minute, wait a minute, I see where this is going, you're gonna ask him to New Year's, aren't you. You're gonna break the pact. She's gonna break the pact."
315,"No, no, no, no, no, no. Yeah, could I just?","Yeah, 'cause I already asked Janice."
316,"C'mon, this was a pact! This was your pact!","I snapped, okay? I couldn't handle the pressure and I snapped."
317,"Yeah, but Janice? That-that was like the worst breakup in history!","I'm not saying it was a good idea, I'm saying I snapped!"
318,,Too many jokes... must mock Joey!
319,"Nice shoes, huh?","Aah, y'killing me!"
320,"I didn't wanna leave him alone. Alright? We- we had our first fight this morning. I think it has to do with my working late. I said some things that I didn't mean, and he- he threw some faeces...","Y'know, if you're gonna work late, I could look in on him for you."
321,"Oh, that'd be great! Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.","Okay, but if he asks, I'm not going to lie."
322,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody- I thought I'd ask Fun Bobby.",Fun Bobby? Your ex-boyfriend Fun Bobby?
323,You know more than one Fun Bobby?,I happen to know a Fun Bob.
324,"Oh, it's-it's Marcel. He keeps shutting me out, y'know? He's walking around all the time dragging his hands...","That's so weird, I had such a blast with him the other night."
325,Really.,"Yeah, we played, we watched TV.. that juggling thing is amazing."
326,"What, uh... what juggling thing?",With the balled-up socks? I figured you taught him that.
327,No.,"Y'know, it wasn't that big a deal. He just balled up socks... and a melon..."
328,"I love this artichoke thing! Oh, don't tell me what's in it, the diet starts tomorrow!",You remember Janice.
329,"There you are! Haaah, you got away from me!",But you found me!
330,"Here, Ross, take our picture. Smile! You're on Janice Camera!",Kill me. Kill me now.
331,"Oh, I'm gonna blow this one up, and I'm gonna write 'Reunited' in glitter.","Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-"
332,"Oh, no. Oh, no.",I'm sorry you misunderstood...
333,,"Oh, will you give me the thing."
334,"There y'go, kids.",And then the peacock bit me. Please kiss me at midnight.
335,You seen Sandy?,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
336,In twenty seconds it'll be midnight...,And the moment of joy is upon us.
337,,"Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz, but I do believe there are three girls and three guys right here."
338,Perfect. Perfect. So now everybody's getting kissed but me.,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!"
339,I know.,Are there no conscious men in the city for you two?
340,,"Y'know, we don't have to watch this. Weekend At Bernie's is on Showtime, HBO, and Cinemax."
341,"C'mon, she's your mom!","Exactly. Weekend At Bernie's! Dead guy getting hit in the groin twenty, thirty times! No?"
342,"Chandler, I gotta tell you, I love your mom's books! I love her books! I cannot get on a plane without one! I mean, this is so cool!","Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'"
343,"C'mon, Chandler, I love your mom. I think she's a blast.",You can say that because she's not your mom.
344,Your mom was arrested?,"Shhh, busy beaming with pride."
345,"...This is kind of embarrassing, but occasionally after I've been intimate with a man...",Now why would she say that's embarrassing?
346,...I just get this craving for Kung Pow Chicken.,THAT'S TOO MUCH INFORMATION!!
347,Awww!,This is the way that I find out. Most moms use the phone.
348,,...And then he burst into flames.
349,I am famished. What do I want...,Please God don't let it be Kung Pow Chicken.
350,"Oh, you watched the show! What'd you think?","Well, I think you need to come out of your shell just a little."
351,"Oooh, c'mon, shut up, it's fun. Gimme a hug. Well, I think we're ready for some tequila.",I know I am.
352,"Oh, please, honey, listen, if I can do it, anybody can. You just start with half a dozen European cities, throw in thirty euphemisms for male genitalia, and bam! You have got yourself a book.","Myyy mother, ladies and gentlemen."
353,,What are you guys doing out here?
354,"Yeah, well you didn't call and leave your grip size.","Okay, you guys spend waaaay too much time together."
355,"Really? Not even to, um, change his PAJAMAS?!",Oh my God.
356,You're my friend. I-I had to tell you.,I can't believe it. Paolo kissed my mom?
357,"Yeah, um, I don't know if you noticed, but he had a lot to drink, and you know how he gets when he's drun..uh... I can't do this, I did it, it was me, I'm sorry, I kissed your mom.",What?
358,"I was really upset about Rachel and Paolo, and I think I had too much tequila, and Nora- um, Mrs. Mom- your Bing- was just being nice, y'know, and- But nothing happened, nothing- Ask Joey, Joey, uh, came in-",You knew about this?
359,"Uh... y'know, knowledge is a tricky thing.","I spent the entire day with you, why didn't you tell me?!"
360,"Thanks, man, big help.",I can't believe this! What the hell were you thinking?
361,"I wasn't- I mean, I-","Y'know, of all my friends, no-one knows the crap I go through with my mom more than you."
362,I know-,I can't believe you did this.
363,"Me neither, y'know what-",I'm still mad at you for not telling me.
364,Chandler-,You gotta let me slam the door!
365,,What was that?
366,"Oh, uh, Phoebe just started a...","Yeah, I believe I was talking to Joey, alright there, Mother-Kisser?"
367,"Chandler, can I just say something? I-I know you're still mad at me, I just wanna say that there were two people there that night. Okay? Two sets of lips.","Yes, well, I expect this from her. Okay? She's always been a Freudian nightmare."
368,"Okay, well, if she always behaves like this, why don't you say something?","Because it's complicated, it's complex- Hey, you kissed my mom!"
369,We're rehearsing a Greek play.,That's very funny. We done now?
370,"No! Okay, you mean, you're not gonna talk to her, you're not gonna tell her how you feel?","That would be no. Look, just because you played tonsil tennis with my mom doesn't mean you know her. Alright? Trust me, you can't talk to her."
371,"Car's waiting downstairs, I just wanted to drop off these copies of my book for your friends. Anything you want from Lisbon?","No, just knowing you're gonna be there is enough."
372,"Alright, well, be good, I love you.",You kissed my best Ross! ...Or something to that effect.
373,"O-kay. Look, it, it was stupid.",Really stupid.
374,"Really stupid. And I don't even know how it happened. I'm sorry, honey, I promise it will never happen again. Are we okay now?",Yeah. No. No...
375,"You okay, kiddo?","Yeah, okay."
376,Alright.,Nice save.
377,,Hey.
378,You mean that?,"Yeah, why not. So I told her."
379,Yeah? How'd it go?,Awful. Awful. Couldn'ta gone worse.
380,"Well, howdya feel?",Pretty good! I told her.
381,Nooo!,"No-no-no-no, we're done."
382,"Ooh, this is cool...it says in some parts of the world, people actually eat the placenta.","And, we're done with the yogurt."
383,"Ah, poke a nose, mmm","Mma, Mma, Mmaah"
384,,"Ah, it's just a weekend, big deal!"
385,"I love babies, with their little baby shoes, and their little baby toes, and their little baby hands...","Ok, you're going to have to stop that, forever!"
386,Need a new table.,You think?
387,"Uh, never mind, I don't want to know.","Ok, so it's just because it was my table, I have to buy a new one?"
388,That's the rule.,"What rule? There's no rule, if anything, you owe me a table!"
